epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2160.57,0.51592,0.64795,0.85247,0.88449,0.80567,0.93347,0.9264,0.82766,0.59938,0.73583,0.91781,0.000125489,0.000125489,0.000125489
85,2186.06,0.5413,0.68001,0.87518,0.87162,0.84816,0.93677,0.93338,0.81493,0.63459,0.72827,0.92917,0.000124435,0.000124435,0.000124435
86,2211.75,0.53123,0.66247,0.86531,0.92589,0.80125,0.91818,0.91469,0.81354,0.60442,0.71639,0.90748,0.00012338,0.00012338,0.00012338
87,2237.21,0.53632,0.66271,0.8594,0.87256,0.86602,0.96173,0.95797,0.86035,0.58871,0.70928,0.90988,0.000122326,0.000122326,0.000122326
88,2262.81,0.53571,0.66136,0.86878,0.89879,0.8447,0.94031,0.93285,0.83502,0.58626,0.75469,0.91658,0.000121272,0.000121272,0.000121272
89,2288.25,0.5165,0.64579,0.8651,0.90705,0.81712,0.92988,0.92692,0.82796,0.59428,0.73878,0.91866,0.000120217,0.000120217,0.000120217
90,2313.76,0.52664,0.65811,0.86476,0.85908,0.91351,0.97059,0.9673,0.84659,0.64855,0.70975,0.92948,0.000119163,0.000119163,0.000119163
91,2339.31,0.53072,0.63343,0.87,0.84107,0.88217,0.96279,0.95558,0.84622,0.60757,0.70695,0.91744,0.000118108,0.000118108,0.000118108
92,2364.84,0.5109,0.62785,0.85579,0.92005,0.84305,0.9493,0.94218,0.82241,0.63693,0.72691,0.92762,0.000117054,0.000117054,0.000117054
93,2390.55,0.53143,0.62789,0.86446,0.91756,0.82943,0.94952,0.94615,0.83633,0.5925,0.73788,0.91041,0.000116,0.000116,0.000116
94,2416.04,0.5186,0.62982,0.8514,0.88445,0.85259,0.923,0.91946,0.82036,0.57444,0.70391,0.90684,0.000114945,0.000114945,0.000114945
95,2441.39,0.52226,0.61628,0.86637,0.91323,0.81738,0.92141,0.91451,0.82026,0.58272,0.68842,0.91703,0.000113891,0.000113891,0.000113891
96,2466.85,0.50836,0.60444,0.85322,0.8969,0.79889,0.93043,0.92382,0.82367,0.59761,0.77139,0.91953,0.000112837,0.000112837,0.000112837
97,2492.29,0.5149,0.62295,0.87008,0.90093,0.80988,0.90406,0.89701,0.78727,0.60541,0.83187,0.91968,0.000111782,0.000111782,0.000111782
98,2517.73,0.51245,0.62706,0.86748,0.91198,0.8314,0.89976,0.89286,0.80621,0.56629,0.85911,0.90883,0.000110728,0.000110728,0.000110728
99,2543.25,0.5153,0.62929,0.86588,0.89747,0.82501,0.90511,0.89718,0.80631,0.56987,0.78585,0.91611,0.000109674,0.000109674,0.000109674
